,Age,Income,CreditScore,MonthsEmployed,NumCreditLines,LoanTerm,DTIRatio,MaritalStatus,HasMortgage,HasDependents,HasCoSigner
29,37,32789,555,59,4,24,0.59,Single,No,Yes,Yes
30,36,141298,650,9,1,36,0.8,Divorced,Yes,No,No
31,59,27160,310,74,3,36,0.67,Single,No,No,No
32,52,38135,496,6,3,60,0.4,Single,Yes,No,No
33,29,121719,503,8,4,48,0.11,Married,No,Yes,Yes
34,22,78113,648,11,2,60,0.55,Single,No,No,Yes
35,28,146642,579,103,1,12,0.35,Married,Yes,No,No
36,54,18704,833,35,4,24,0.72,Single,No,No,Yes
37,65,36691,630,31,2,60,0.43,Divorced,No,Yes,Yes
38,21,143243,484,46,1,48,0.67,Divorced,No,No,Yes
39,25,69035,529,17,2,48,0.28,Divorced,No,Yes,No
40,54,133667,532,102,3,36,0.64,Married,No,Yes,Yes
41,65,21049,655,33,3,48,0.6,Single,Yes,Yes,No
42,63,93563,365,0,1,36,0.59,Divorced,Yes,Yes,Yes
43,34,78459,642,16,2,48,0.48,Single,Yes,No,No
44,25,31947,792,43,2,60,0.77,Divorced,No,No,No
45,56,78959,844,77,4,60,0.62,Married,No,No,Yes
46,68,66337,599,75,1,48,0.54,Married,No,No,No
47,22,139569,784,45,4,36,0.46,Single,Yes,No,No
48,69,84227,758,13,1,12,0.56,Married,No,Yes,Yes
49,26,96367,355,79,2,48,0.89,Married,Yes,Yes,Yes
50,33,117639,691,55,3,48,0.89,Divorced,Yes,No,Yes
51,62,31541,316,56,1,24,0.46,Married,No,No,Yes
52,36,109221,314,97,2,60,0.83,Married,Yes,Yes,No
53,20,78883,484,65,3,48,0.89,Married,No,No,Yes
54,29,128854,332,93,1,12,0.38,Divorced,No,No,No
55,30,131692,422,46,2,12,0.42,Single,No,No,Yes
56,48,38997,505,17,2,60,0.59,Divorced,No,Yes,No
57,59,28018,348,113,4,36,0.62,Single,Yes,No,Yes
58,57,135790,672,45,1,60,0.45,Divorced,Yes,Yes,Yes
59,41,127444,774,11,3,48,0.54,Divorced,Yes,Yes,No
60,30,45923,326,116,1,36,0.41,Married,Yes,No,Yes
61,24,16671,664,8,3,48,0.5,Single,Yes,Yes,No
62,23,20516,612,56,4,24,0.39,Single,No,No,Yes
63,32,21315,762,52,3,12,0.65,Divorced,No,No,No
64,35,112617,823,52,1,36,0.67,Single,No,Yes,Yes
65,42,81126,549,53,3,24,0.9,Married,Yes,Yes,No
66,31,102756,495,87,4,24,0.61,Single,Yes,Yes,No
67,52,36652,644,24,3,12,0.47,Divorced,No,Yes,No
68,45,101361,415,6,3,60,0.72,Married,No,No,Yes
69,33,97912,822,97,2,60,0.5,Divorced,Yes,No,No
70,52,122853,724,73,2,36,0.37,Married,Yes,Yes,Yes
71,23,102355,517,13,1,12,0.62,Divorced,Yes,Yes,No
72,30,25160,303,105,2,12,0.21,Divorced,Yes,No,Yes
73,21,37141,468,52,4,36,0.56,Divorced,No,Yes,No
74,28,86427,463,14,1,60,0.59,Divorced,No,No,Yes
75,25,15626,353,100,3,36,0.6,Divorced,Yes,No,No
76,68,125960,352,28,1,48,0.4,Married,Yes,No,No
77,55,120110,799,47,4,48,0.86,Single,Yes,Yes,Yes
78,22,19307,353,28,1,60,0.36,Divorced,Yes,Yes,No
79,26,134482,663,53,4,60,0.52,Married,No,No,No
80,65,36610,572,92,4,60,0.31,Single,No,Yes,No
81,50,26104,480,61,4,60,0.44,Single,No,No,No
82,49,79473,705,5,3,12,0.74,Married,No,No,Yes
83,18,106853,361,80,3,12,0.81,Single,No,No,Yes
84,24,121134,388,55,4,24,0.5,Single,Yes,No,Yes
85,58,116685,462,59,3,48,0.84,Single,Yes,No,No
86,40,91645,829,8,2,36,0.71,Divorced,No,Yes,Yes
87,35,129095,831,107,2,12,0.2,Single,No,Yes,No
88,33,134366,311,93,4,48,0.55,Divorced,No,No,Yes
89,39,66489,316,6,4,24,0.69,Married,No,No,Yes
90,63,131290,670,2,2,48,0.4,Single,No,No,No
91,32,102267,336,12,2,36,0.28,Divorced,No,Yes,Yes
92,31,26492,783,22,3,36,0.26,Single,Yes,Yes,No
93,39,139379,484,98,3,12,0.59,Divorced,Yes,No,No
94,38,111331,507,39,3,12,0.2,Married,No,No,No
95,63,35574,849,0,3,36,0.79,Single,Yes,Yes,Yes
96,30,40490,776,58,2,24,0.41,Single,Yes,No,No
97,64,121261,773,36,2,36,0.13,Single,Yes,Yes,Yes
98,38,36623,820,94,1,12,0.43,Single,Yes,No,No
99,33,58706,604,3,3,12,0.73,Single,No,No,No
100,32,72066,774,8,4,24,0.27,Married,Yes,No,No
101,26,146663,562,107,4,60,0.54,Married,No,Yes,Yes
102,24,20122,309,15,4,48,0.63,Married,No,Yes,Yes
103,32,130634,676,41,1,48,0.17,Single,No,Yes,Yes
104,26,116538,303,30,2,60,0.21,Married,No,No,No
105,30,73752,610,116,3,60,0.73,Married,No,No,No
106,22,28090,667,59,3,60,0.77,Single,Yes,No,No
107,39,31245,624,110,1,24,0.65,Married,Yes,No,Yes
108,49,112258,450,91,4,36,0.78,Divorced,Yes,No,Yes
109,40,128294,565,62,3,24,0.18,Single,Yes,Yes,No
110,39,88630,482,77,1,48,0.14,Single,Yes,No,No
111,48,137600,451,45,4,12,0.62,Single,No,Yes,Yes
112,31,40273,564,95,4,60,0.88,Married,Yes,Yes,Yes
113,26,138051,795,5,4,24,0.68,Single,Yes,Yes,No
114,66,99586,422,38,3,24,0.13,Divorced,Yes,No,No
115,21,101474,761,83,3,24,0.34,Married,Yes,No,Yes
116,32,18596,834,93,4,48,0.16,Married,Yes,No,No
117,18,62378,788,18,4,60,0.1,Divorced,No,Yes,Yes
118,19,89709,685,62,4,48,0.14,Divorced,No,No,No
119,68,112065,631,13,4,48,0.45,Single,Yes,Yes,Yes
120,46,140454,720,67,1,24,0.76,Divorced,Yes,Yes,Yes
121,32,62568,608,74,4,60,0.72,Divorced,Yes,Yes,Yes
122,22,38516,753,84,4,24,0.63,Married,No,No,No
123,30,139160,399,119,4,24,0.14,Single,Yes,No,No
124,34,87356,434,20,1,24,0.83,Divorced,No,No,Yes
125,21,109052,787,103,2,12,0.87,Married,No,No,No
126,34,88575,549,37,2,60,0.49,Divorced,No,No,Yes
127,21,36486,509,77,2,48,0.35,Single,Yes,Yes,No
128,44,94483,705,71,4,36,0.71,Married,No,No,No
129,37,15901,397,63,3,36,0.37,Divorced,Yes,No,Yes
130,25,105498,575,47,2,48,0.71,Divorced,No,Yes,Yes
131,23,33070,629,37,3,60,0.27,Married,No,No,No
132,64,98525,704,6,1,60,0.41,Divorced,No,Yes,Yes
133,26,104778,558,20,3,24,0.11,Married,Yes,No,Yes
134,41,39497,743,100,4,36,0.81,Single,Yes,No,No
135,36,135275,700,1,4,48,0.32,Married,Yes,Yes,No
136,19,125898,379,15,4,24,0.59,Single,Yes,Yes,Yes
137,57,67768,455,66,1,60,0.69,Married,Yes,Yes,Yes
138,54,100554,469,31,3,12,0.68,Married,No,No,Yes
139,28,116934,321,74,2,60,0.26,Single,No,Yes,No
140,25,68481,398,17,1,24,0.57,Married,No,Yes,Yes
141,55,44352,513,110,1,12,0.88,Married,No,Yes,Yes
142,54,33790,523,41,3,60,0.4,Divorced,No,No,Yes
143,43,26657,701,8,3,24,0.64,Married,No,No,Yes
144,20,65340,398,77,2,12,0.81,Single,No,No,Yes
145,54,18723,449,56,2,48,0.85,Divorced,Yes,No,Yes
146,31,48621,395,53,2,48,0.78,Divorced,No,No,Yes
147,46,78096,694,9,2,36,0.55,Single,Yes,Yes,No
148,43,78627,760,39,2,24,0.5,Single,No,No,No
149,35,82885,663,112,2,24,0.68,Divorced,No,No,Yes
150,27,52770,568,83,1,12,0.7,Single,No,No,Yes
151,68,108086,632,63,4,36,0.11,Single,Yes,Yes,Yes
152,22,35679,477,26,4,36,0.25,Single,Yes,Yes,Yes
153,32,25558,559,40,2,36,0.7,Single,Yes,Yes,Yes
154,32,58569,747,84,1,48,0.18,Single,No,Yes,No
155,41,100205,841,1,4,60,0.38,Married,Yes,Yes,No
156,26,64496,338,102,3,48,0.76,Divorced,No,Yes,Yes
157,52,28169,797,102,2,36,0.76,Divorced,No,No,No
158,26,40734,844,66,1,36,0.31,Married,No,Yes,No
159,26,70179,806,41,2,48,0.66,Divorced,Yes,Yes,Yes
160,41,101490,765,24,1,60,0.68,Married,No,No,No
161,30,85956,733,92,2,60,0.76,Single,No,Yes,Yes
162,28,121823,507,51,1,36,0.66,Married,Yes,No,No
163,18,149895,371,38,1,60,0.47,Single,Yes,No,Yes
164,33,21786,535,42,2,60,0.85,Married,Yes,Yes,Yes
165,33,148467,472,113,4,60,0.24,Married,Yes,Yes,Yes
166,58,87804,429,67,2,12,0.48,Married,Yes,Yes,Yes
167,59,92952,820,11,2,48,0.66,Single,No,No,No
168,68,94368,431,35,1,48,0.32,Married,No,Yes,Yes
169,40,57780,312,68,4,24,0.18,Divorced,No,Yes,No
170,29,50808,480,87,4,12,0.21,Married,Yes,Yes,Yes
171,18,101097,657,29,3,12,0.87,Divorced,No,Yes,No
172,68,37397,753,15,4,48,0.59,Single,Yes,Yes,Yes
173,23,41501,546,73,2,60,0.81,Divorced,No,No,Yes
174,51,133274,302,18,2,48,0.3,Divorced,Yes,Yes,Yes
175,66,126029,447,16,3,36,0.75,Married,No,Yes,No
176,65,113585,743,68,4,60,0.85,Single,No,Yes,No
177,65,100436,684,77,1,24,0.67,Divorced,Yes,Yes,Yes
178,52,144571,431,3,2,48,0.52,Married,Yes,No,Yes
179,44,32822,327,22,1,24,0.11,Divorced,No,No,Yes
180,34,37767,388,11,3,60,0.65,Divorced,No,No,Yes
181,42,51539,736,29,1,48,0.62,Single,No,No,No
182,24,64474,430,80,4,48,0.34,Divorced,Yes,No,Yes
183,33,93803,542,11,1,24,0.83,Divorced,No,Yes,Yes
184,50,66143,420,32,2,12,0.7,Divorced,No,Yes,No
185,64,65125,406,69,1,60,0.67,Married,Yes,Yes,Yes
186,30,87405,534,87,3,48,0.75,Divorced,No,No,Yes
187,53,133209,340,116,4,36,0.24,Married,Yes,No,No
188,29,21333,593,23,1,24,0.21,Married,No,No,No
189,23,74495,300,2,2,60,0.23,Married,No,No,Yes
190,40,37052,383,53,4,48,0.18,Married,No,Yes,Yes
191,67,91725,659,54,1,24,0.53,Married,Yes,Yes,No
192,34,33906,665,79,3,48,0.61,Married,No,No,No
193,45,16632,474,74,1,48,0.56,Single,No,Yes,Yes
194,28,33414,571,105,2,48,0.81,Divorced,No,No,Yes
195,56,59848,311,58,1,60,0.77,Single,No,Yes,Yes
196,23,101818,418,111,3,60,0.51,Divorced,No,Yes,Yes
197,28,124084,469,84,3,12,0.77,Married,Yes,Yes,No
198,34,139986,528,57,4,12,0.76,Single,Yes,No,No
199,62,98708,744,50,1,48,0.34,Divorced,No,No,No
200,28,19816,660,49,2,60,0.74,Single,No,No,No
201,27,28066,585,32,4,24,0.77,Divorced,No,No,No
202,27,56484,328,97,1,12,0.85,Single,Yes,Yes,Yes
203,52,71197,428,51,3,60,0.37,Divorced,No,Yes,Yes
204,21,100263,831,97,3,48,0.14,Divorced,Yes,Yes,Yes
205,35,38141,436,12,2,60,0.6,Divorced,No,No,Yes
206,35,35562,671,50,1,48,0.62,Married,Yes,No,Yes
207,31,102897,552,109,4,36,0.29,Single,No,Yes,Yes
208,62,114258,705,13,2,60,0.13,Married,No,Yes,No
209,22,137160,682,8,3,36,0.59,Divorced,No,No,No
210,20,88299,580,36,1,36,0.57,Married,No,No,No
211,57,16949,591,49,1,36,0.73,Divorced,Yes,Yes,Yes
212,46,149936,414,70,2,24,0.6,Single,Yes,No,Yes
213,57,89627,630,28,2,36,0.86,Divorced,No,No,Yes
214,24,55006,619,102,3,60,0.56,Single,No,Yes,No
215,26,67186,706,92,2,36,0.78,Married,No,Yes,Yes
216,21,96663,467,100,1,24,0.28,Divorced,No,No,Yes
217,36,37004,638,98,3,60,0.29,Married,No,No,Yes
218,50,81756,329,79,1,36,0.61,Married,No,No,No
219,24,28966,406,43,1,36,0.56,Single,No,Yes,No
220,65,110863,763,74,1,12,0.84,Married,Yes,Yes,Yes
221,41,106662,787,84,3,12,0.63,Married,No,Yes,No
222,33,104813,742,95,1,60,0.68,Married,Yes,No,Yes
223,50,63133,346,9,1,36,0.29,Divorced,No,Yes,No
224,30,25362,548,62,2,48,0.58,Single,No,Yes,No
225,20,82306,570,113,4,36,0.14,Divorced,Yes,Yes,No
226,48,84759,608,6,2,12,0.42,Single,Yes,Yes,Yes
227,48,55458,518,91,3,36,0.64,Single,Yes,Yes,Yes
228,53,142037,522,118,2,36,0.53,Divorced,Yes,No,Yes
229,44,85422,480,37,1,24,0.29,Divorced,Yes,No,No
230,35,98591,656,104,3,24,0.26,Married,Yes,No,Yes
231,31,55407,346,40,1,24,0.62,Married,Yes,No,No
232,47,51625,487,48,2,48,0.57,Single,Yes,Yes,No
233,46,70077,457,26,1,24,0.36,Single,Yes,No,Yes
234,31,103903,790,60,1,24,0.11,Married,Yes,Yes,Yes
235,19,96109,670,119,1,24,0.55,Single,Yes,Yes,Yes
236,27,90900,612,79,1,24,0.33,Divorced,Yes,No,Yes
237,65,30057,793,34,3,12,0.5,Single,Yes,Yes,Yes
238,63,67614,434,26,3,36,0.4,Married,Yes,Yes,Yes
239,23,97550,344,71,3,60,0.52,Single,Yes,No,No
240,31,49882,314,80,2,60,0.6,Single,Yes,Yes,Yes
241,26,54886,696,26,1,36,0.35,Married,Yes,Yes,Yes
242,61,106148,531,60,3,12,0.54,Married,Yes,Yes,No
243,51,100650,313,36,4,60,0.55,Married,No,No,No
244,22,91827,652,23,4,24,0.27,Divorced,Yes,No,Yes
245,61,62044,351,111,1,24,0.27,Married,No,Yes,No
246,21,113894,424,15,4,12,0.46,Divorced,Yes,No,No
247,48,47622,499,83,3,36,0.44,Single,Yes,No,Yes
248,62,25753,670,6,2,48,0.72,Divorced,Yes,Yes,Yes
249,61,45931,845,80,2,12,0.35,Married,Yes,No,No
250,19,25332,571,22,1,48,0.23,Divorced,Yes,Yes,No
251,34,122545,770,39,1,12,0.18,Single,Yes,No,Yes
252,41,47712,300,90,3,12,0.46,Married,No,Yes,Yes
253,59,30584,314,20,3,36,0.47,Single,No,No,No
254,52,112822,571,88,1,48,0.68,Single,Yes,Yes,No
255,63,25580,459,17,2,36,0.65,Single,Yes,No,No
256,18,118235,836,117,1,48,0.7,Single,No,No,No
257,30,71778,684,71,4,48,0.4,Married,Yes,No,No
258,49,41799,607,88,2,24,0.79,Single,Yes,Yes,Yes
259,55,73345,695,20,3,36,0.32,Divorced,No,Yes,No
260,20,33583,683,4,3,60,0.7,Divorced,No,No,Yes
261,36,57060,752,39,1,36,0.53,Divorced,Yes,No,No
262,38,44524,326,15,1,36,0.77,Married,No,Yes,Yes
263,40,36743,799,65,1,12,0.26,Married,Yes,No,No
264,51,120622,775,12,4,60,0.26,Married,No,Yes,Yes
265,32,125786,338,73,4,36,0.79,Divorced,Yes,No,No
266,55,50635,326,112,1,24,0.85,Married,Yes,Yes,No
267,65,69142,307,13,1,24,0.42,Single,No,No,No
268,33,83265,352,69,4,48,0.74,Married,Yes,Yes,Yes
269,25,68120,405,119,2,48,0.37,Single,No,Yes,No
270,34,140264,319,83,4,12,0.43,Married,Yes,No,Yes
271,61,30895,642,36,3,48,0.69,Divorced,Yes,No,Yes
272,67,76691,306,74,1,48,0.84,Divorced,Yes,Yes,No
273,22,25852,611,29,4,48,0.69,Married,Yes,No,Yes
274,43,27725,827,35,3,48,0.84,Single,Yes,Yes,No
275,58,115554,504,14,3,60,0.57,Divorced,Yes,Yes,Yes
276,30,127050,844,58,3,36,0.55,Divorced,No,No,Yes
277,59,66006,588,5,3,48,0.88,Divorced,No,No,Yes
278,20,45270,578,50,1,48,0.76,Married,No,No,Yes
279,29,133135,611,77,1,12,0.61,Single,Yes,No,No
280,33,46909,459,38,1,24,0.29,Single,Yes,Yes,No
281,38,110927,839,92,4,60,0.71,Divorced,No,Yes,Yes
282,44,149619,686,2,3,24,0.43,Single,Yes,Yes,Yes
283,18,80382,635,19,2,24,0.5,Divorced,Yes,No,Yes
284,31,122385,652,55,3,24,0.37,Single,No,No,Yes
285,51,54335,300,106,2,12,0.85,Single,No,Yes,No
286,50,134935,841,64,4,60,0.88,Single,No,No,Yes
287,36,66075,824,94,1,36,0.2,Divorced,No,No,Yes
288,55,104257,812,22,3,60,0.47,Divorced,No,Yes,No
289,51,55756,351,8,2,36,0.45,Divorced,Yes,Yes,No
290,68,58804,809,119,3,12,0.88,Single,Yes,No,No
291,24,97193,787,84,1,60,0.29,Single,No,Yes,No
292,26,120662,532,45,4,36,0.12,Divorced,No,Yes,Yes
293,20,132755,795,34,3,24,0.89,Single,Yes,No,Yes
294,67,44507,681,8,1,48,0.31,Married,Yes,No,No
295,52,131430,787,21,2,12,0.19,Single,No,No,Yes
296,53,46682,551,88,3,48,0.46,Single,Yes,Yes,Yes
297,56,61370,413,11,2,24,0.85,Married,No,No,No
298,18,136965,610,115,4,36,0.3,Single,Yes,No,Yes
299,39,100188,764,32,2,36,0.83,Divorced,Yes,No,Yes
300,30,78842,307,42,2,24,0.3,Married,Yes,No,No
301,44,148292,400,27,4,36,0.15,Divorced,No,No,Yes
302,66,124735,608,53,1,12,0.26,Divorced,Yes,Yes,Yes
303,69,97846,823,114,1,48,0.33,Married,No,Yes,No
304,32,23934,602,66,1,36,0.23,Divorced,No,Yes,No
305,59,39945,538,46,3,12,0.58,Divorced,Yes,No,Yes
306,55,84331,725,2,2,12,0.44,Divorced,No,Yes,No
307,32,64569,761,31,4,36,0.39,Divorced,Yes,No,No
308,66,102636,337,92,3,36,0.17,Divorced,No,Yes,No
309,23,132936,309,111,4,60,0.33,Single,Yes,No,No
310,35,32238,634,99,1,36,0.38,Divorced,Yes,No,No
311,52,146245,776,14,1,24,0.29,Single,No,Yes,No
312,36,59562,826,119,4,48,0.55,Divorced,No,Yes,Yes
313,40,128448,796,84,3,36,0.6,Single,No,Yes,No
314,53,20238,315,71,3,60,0.68,Single,No,Yes,No
315,34,30474,355,2,3,12,0.55,Divorced,Yes,Yes,No
316,34,137456,839,117,3,12,0.35,Divorced,No,No,Yes
317,46,17931,392,37,4,24,0.29,Single,No,No,Yes
318,63,110215,597,50,1,48,0.32,Single,Yes,No,Yes
319,30,89474,663,2,1,24,0.46,Divorced,No,No,No
320,29,32043,478,28,4,60,0.63,Married,No,Yes,No
321,50,70695,496,60,2,60,0.21,Divorced,Yes,Yes,Yes
322,34,56573,642,71,1,60,0.6,Married,No,Yes,Yes
323,31,100170,629,10,2,36,0.47,Married,No,Yes,No
324,35,77620,686,113,2,24,0.3,Married,No,No,No
325,44,30596,789,91,4,60,0.78,Married,Yes,No,No
326,38,109683,648,35,4,12,0.83,Married,No,Yes,No
327,32,54890,763,118,4,12,0.36,Married,Yes,No,Yes
328,21,37757,504,52,3,48,0.22,Divorced,Yes,Yes,No
329,44,24347,812,69,3,60,0.46,Divorced,No,No,Yes
330,62,117519,831,1,3,48,0.44,Single,Yes,No,No
331,23,32185,630,88,4,12,0.51,Single,Yes,No,No
332,49,114451,446,26,2,36,0.17,Divorced,Yes,No,No
333,60,51861,354,42,3,60,0.24,Single,Yes,No,No
334,33,116865,449,29,4,60,0.38,Single,Yes,No,No
335,43,15241,455,57,4,12,0.88,Married,No,Yes,Yes
336,35,16757,351,19,4,24,0.6,Married,No,Yes,Yes
337,24,79374,419,86,1,36,0.26,Single,No,No,No
338,29,111337,339,86,3,36,0.46,Married,No,No,No
339,38,17243,496,53,2,48,0.44,Divorced,Yes,Yes,Yes
340,55,18150,683,113,1,60,0.1,Single,Yes,Yes,Yes
341,40,99710,751,62,4,12,0.28,Married,No,No,Yes
342,25,115822,756,25,3,12,0.74,Divorced,No,Yes,No
343,31,17966,803,18,2,48,0.65,Single,Yes,Yes,Yes
344,64,86664,547,2,2,48,0.42,Single,Yes,No,Yes
345,45,113966,748,58,2,12,0.85,Married,No,No,No
346,21,17189,549,61,4,24,0.17,Divorced,No,No,Yes
347,52,41122,337,95,3,48,0.42,Divorced,No,No,Yes
348,53,141919,412,56,2,12,0.67,Single,No,Yes,Yes
349,53,37676,800,92,3,48,0.24,Single,Yes,No,Yes
350,41,27998,781,104,4,12,0.46,Single,No,Yes,No
351,40,55884,536,31,2,24,0.84,Single,Yes,No,Yes
352,35,25996,707,2,1,12,0.63,Single,No,Yes,Yes
353,20,36246,419,34,1,24,0.73,Married,Yes,Yes,No
354,29,72684,818,77,2,48,0.5,Single,No,Yes,No
355,39,33846,428,87,2,48,0.82,Divorced,No,Yes,No
356,45,139577,360,4,3,12,0.29,Divorced,No,Yes,No
357,38,19146,359,58,3,48,0.64,Married,No,Yes,Yes
358,46,143315,683,106,3,24,0.61,Single,No,No,No
359,22,78950,415,63,1,36,0.44,Divorced,Yes,Yes,No
360,27,54792,617,118,1,24,0.79,Divorced,Yes,Yes,Yes
361,36,20312,629,62,3,12,0.2,Single,No,Yes,Yes
362,48,131026,818,65,1,48,0.15,Single,No,Yes,No
363,29,66812,837,102,1,12,0.42,Single,Yes,No,No
364,44,101411,646,46,4,24,0.39,Divorced,No,Yes,Yes
365,52,23576,707,29,2,48,0.88,Divorced,Yes,Yes,Yes
366,49,36391,746,17,4,12,0.63,Divorced,Yes,Yes,Yes
367,24,119500,340,45,3,24,0.88,Divorced,Yes,Yes,No
368,20,90260,730,36,1,12,0.31,Single,No,Yes,Yes
369,58,66452,780,3,1,60,0.89,Married,No,Yes,No
370,22,31209,517,61,4,48,0.34,Divorced,Yes,Yes,Yes
371,27,121635,646,107,3,48,0.45,Single,No,Yes,Yes
372,29,131080,512,37,3,60,0.67,Divorced,Yes,No,No
373,26,93754,422,101,4,24,0.88,Married,No,Yes,No
374,36,119716,560,32,3,60,0.12,Married,No,No,No
375,36,107604,462,119,3,60,0.89,Single,Yes,No,Yes
376,34,31243,393,46,4,60,0.29,Divorced,No,No,No
377,59,101910,452,51,3,36,0.86,Divorced,Yes,Yes,No
378,18,103894,333,24,4,24,0.6,Divorced,No,Yes,Yes
379,34,68484,627,76,4,12,0.6,Married,No,No,No
380,26,92027,400,106,1,24,0.83,Married,No,No,No
381,42,123640,544,41,4,36,0.63,Married,No,Yes,No
382,24,35666,579,98,4,24,0.81,Single,Yes,No,No
383,36,144431,617,19,3,36,0.77,Married,Yes,Yes,No
384,20,52150,533,10,3,60,0.77,Married,No,Yes,Yes
385,65,49692,725,111,4,48,0.54,Single,Yes,No,Yes
386,40,15190,823,112,2,36,0.25,Single,Yes,No,Yes
387,31,50196,316,70,1,24,0.51,Divorced,Yes,Yes,No
388,60,79641,312,49,2,60,0.83,Married,Yes,Yes,No
389,66,110274,759,103,1,60,0.78,Married,No,No,No
390,19,105956,465,77,1,24,0.51,Married,Yes,No,No
391,21,52986,412,12,4,36,0.73,Divorced,Yes,Yes,Yes
392,22,51904,309,39,1,12,0.19,Married,No,Yes,Yes
393,24,108680,689,67,2,12,0.69,Married,No,No,Yes
394,44,31683,629,26,1,36,0.13,Divorced,No,No,Yes
395,21,34083,454,21,3,48,0.9,Divorced,No,No,Yes
396,59,49549,476,40,3,36,0.74,Divorced,No,Yes,No
397,57,108326,441,32,4,36,0.32,Married,Yes,No,No
398,23,58184,436,116,3,12,0.74,Single,No,No,Yes
399,63,106810,751,51,3,36,0.3,Divorced,Yes,Yes,No
400,49,100843,404,98,3,36,0.2,Married,Yes,Yes,No
401,40,114168,726,89,3,12,0.71,Single,Yes,No,Yes
402,31,81864,316,22,2,36,0.54,Divorced,Yes,Yes,Yes
403,43,137966,628,72,3,12,0.73,Divorced,No,Yes,Yes
404,25,126128,386,16,3,36,0.81,Married,Yes,Yes,No
405,20,120612,518,37,3,12,0.24,Divorced,Yes,Yes,No
406,49,124489,341,14,4,48,0.42,Single,Yes,Yes,No
407,44,59139,387,45,3,12,0.49,Single,No,Yes,Yes
408,53,47902,341,72,4,12,0.22,Divorced,No,Yes,No
409,46,122728,393,18,4,36,0.34,Divorced,Yes,Yes,No
410,19,114870,752,94,2,36,0.47,Divorced,No,Yes,No
411,19,29038,641,24,4,48,0.82,Divorced,No,Yes,No
412,28,91255,808,112,4,24,0.87,Divorced,No,No,No
413,44,18127,554,35,2,12,0.53,Single,Yes,Yes,Yes
414,41,96907,660,70,2,60,0.73,Divorced,No,No,Yes
415,32,24250,486,89,3,48,0.77,Divorced,Yes,Yes,Yes
416,42,72925,733,115,1,48,0.2,Divorced,No,No,Yes
417,18,59872,595,26,2,12,0.67,Single,Yes,No,No
418,35,137165,555,5,4,36,0.66,Single,Yes,Yes,No
419,48,103397,363,100,3,12,0.71,Married,Yes,Yes,No
420,36,27759,398,61,4,60,0.49,Divorced,Yes,No,Yes
421,42,104496,741,75,4,36,0.84,Single,Yes,No,No
422,66,96147,496,23,4,60,0.19,Married,No,Yes,No
423,52,144671,391,15,4,24,0.86,Single,Yes,No,Yes
424,19,128035,405,60,3,48,0.73,Married,No,Yes,Yes
425,39,131522,793,118,3,36,0.51,Divorced,Yes,Yes,Yes
426,60,100672,330,106,2,60,0.71,Single,No,Yes,No
427,48,109419,306,112,4,24,0.4,Single,Yes,No,Yes
428,39,113290,526,50,2,36,0.81,Married,Yes,Yes,Yes
429,40,93330,388,109,1,48,0.52,Divorced,Yes,No,Yes
430,36,92493,609,44,2,60,0.86,Single,Yes,Yes,No
431,58,67484,393,14,1,60,0.14,Married,Yes,No,No
432,46,19198,669,7,2,12,0.68,Single,No,Yes,Yes
433,20,83321,620,52,4,60,0.48,Divorced,Yes,Yes,No
434,60,90502,414,95,2,48,0.29,Single,Yes,Yes,No
435,18,74673,332,6,4,36,0.64,Divorced,No,Yes,Yes
